lyric,genre,emotion_4Q,sentiment,sentiment_score,emotion_NRC
no greater love feel no greater love no heart true no greater thrill bring no sweeter song sing sweetest thing ever known think mine alone no greater love world true no greater love feel sweetest thing ever known think mine alone no greater love world true no greater love feel,Jazz,happy,positive,1.0,joy|anticipation
not know no sun sky stormy weather yes since gal not together keep raining time life bare gloom misery everywhere stormy weather yes not get poor self together oh weary time time weary time went away blue walked met stay away old rocking chair going get pray lord let walk sun more not go everything gone stormy weather since gal not together keep raining time keep raining time,Jazz,sad,negative,0.5556,sadness|trust
learn many cover spread turn around enough pick choose pas buying heading suffer suffer bad enough want fear need fear alone become alone become well making making pushing pushing leading u along hassle hassle screaming fit screaming fit panic make remorse point levitation possible fly achieved gone time much more typical create world special place design never cope never care use key alone become alone become well making making pushing pushing leading u along hassle hassle screaming fit screaming fit panic make remorse slave became slave became slave became slave well making making pushing pushing leading u along hassle hassle screaming fit screaming fit panic held well making making pushing pushing leading u along like cancer caused cancer caused screaming fit screaming fit panic make remorse,,angry,negative,0.6667,fear|anger
hear spit wither remold gold bury sun reborn left sigh recure maybe born simplify way lie get bored get bored get bored bored repent trust figure burn gift doll let shine get bored get bored get bored wish real one pissed confined come clean get worse more get bored get bored get bored wish real one get bored get bored get bored wish real one,Metal,sad,positive,0.6667,sadness|joy
come ride vein history show god fall asleep job win fool king not waste time time waste no one going take alive time come make thing right must fight right must fight survive no one going take alive time come make thing right must fight right must fight survive no one going take alive time come make thing right must fight right must fight survive,Rock,angry,positive,0.5556,anticipation|trust
something dark sticky time getting strong no way dealing feeling not go like long time gone far time gone far time gone far told told told told time gone far time gone far time gone far told told told told not talk back drive car shut mouth know not say nothing keep hand wheel not turn around real digging dirt stay need support digging dirt find place got hurt open place got hurt more look more find close get blind feel head feel toe feel sex place go time gone far time gone far time gone far told told told told time gone far time gone far time gone far told told told told not talk back drive car shut mouth know not say nothing keep hand wheel not turn around real digging dirt stay need support digging dirt find place got hurt open place got hurt digging dirt stay need support digging dirt find place got hurt open place got hurt digging dirt find place got hurt digging dirt find place got hurt digging dirt find place got hurt digging dirt find place got hurt digging dirt find place got hurt digging dirt find place got hurt digging dirt find place got hurt digging dirt,Rock,sad,positive,0.5714,anticipation|sadness
sound bottle wine uncorked poured drunk ahh declare war world war outer space declare war nutshell war place declare war every government war odds declare war inner sanctum bloodthirsty god world war three world war three declare war axis moron allout war complacent consent declare war war drug rape slaughter innocent war big brother warmonger profiteer war dogma dubya armageddon engineer world war three long difficult war conducted many front long take prevail world war three world war three war heartbeat declare war socalled civilization world trade globalization organized disinformation war ambassador pretense war mtv cnn mcdonalds walt disney bethlehem christina britney eminem across world government heard message either u terrorist tyranny terror lawless violence declare war world antichoice violent unilaterality amassment murderous hightech toy crime humanity war moral majority corporate dotcom imperialism mindlessly bumbling stupidity policestate terrorism world war three world war three world war three world war three tyranny terror lawless violence future belongs free,Metal,angry,negative,0.6296,fear|anger
oohooh oohooh candle love flame fire burn wind rain shine light heart mine til end time came like dawn night shinin like sun dream life one one said loved lied more love feel inside said loved wrong love could never ever feel strong said loved lied soul tried vain mere word heart explain taste heaven deep true found many reason many way life begun need forever need stay one one said loved lied more love feel inside said loved wrong love could never ever feel strong said loved lied came like dawn night shinin like sun dream life one one said loved lied said loved lied more love feel inside said loved lied said loved wrong said loved wrong love could never ever feel strong said loved said loved more love feel inside said loved youbut lied,,happy,positive,0.9,trust|joy
verse met springtime day minding life minding mine lady looked way strange sensation darling knew chorus sad belong someone else right one come along yes sad belong someone else right one come along verse oh wake night reach beside hoping instead find someone believed said would always care chorus oh sad belong someone else right one come along yes sad belong someone else right one come along bridge lived life dream world rest day walking hand hand wishful memory oh guess would ever verse wish time machine could make go back day born would live life rearrange would chorus oh sad belong someone else right one come along yes sad belong someone else right one come along oh sad belong someone else right one come along yes sad belong someone else right one come along oh sad belong someone else right one come along yes sad belong someone else right one come along yes sad belong someone else,Country,sad,positive,1.0,trust|anticipation
would easier take wet water dry sand anyone try separate u stop u holding hand love love oh love bottom heart love joined together love joined together not nobody take apart would easier take cold snow heat fire anyone take love baby heart desire really love love love bottom heart love joined together love joined together love joined together not nobody take apart even separate u thousand mile apart still together others heart would easier change season year anyone change way feel oh love dear really love love vou oh baby love bottom heart love joined together love joined together love joined together not nobody take apart baby love joined together love joined together love joined together love joined together love joined together love joined together love joined together,,happy,positive,0.6667,joy|fear
okay roberta want touch right mmm mmm set night music set night set night music look star tonight look moonlight look u alone whoa like dream like romantic fantasy darling come hold close mmm could making love slightest touch could set night music could set night music could want take set night music yeah yeah find rhythm melt nice slow love away mmm mmm heart beating next mine perfect love perfect time watch world disappear moment take love make could set night music could set night music could want take set night music yeah yeah whoa whoa whoa whoa ooh yeah yeah yeah oh oh whoa whoa yeah yeah yeah oh yeah oh yeah moment take moment love make love make smile could set night music could set night music could want take set night music music yeah yeah set night set night music music ah could set night music oh ah set night set night music music could set night music set night set night music music oh ah could set night music could making could making love love could set night music could making love making love star could making love could set night music making love yes could star could set night music making love set night music star could set night music whoa whoa could set night music,,relaxed,positive,0.8889,joy|trust
want honey got need baby got askin give little respect come home ooh yeah hey hey hey yeah ooh yeah wrong honey want wrong honey gone askin give give come home ooh yeah hey hey hey yeah hey little girl sweeter honey want give money askin give come home yeah hey hey hey ooh yeah hey little girl sweeter honey want give money want give give give come home ooh yeah hey hey hey respect want respect need respect want respect need got got got got got give want give need give respect ah give want got got give got got give got give got give got give,Jazz,relaxed,positive,0.8,joy|anticipation
might thing missed not unkind not mean blind perhaps thing two think lying bed not said see clear meant beginning maybe might changed not cruel not fool whatever done done not recall not matter see clear meant beginning,Rock,sad,negative,1.0,disgust|anger
turn way never turn turn not speak every meaning not belong not belong not hold tightly let know lonely babe let know lonely babe happier past gone day gone tear girl used girl see standing front could keep going belief setting free let know lonely babe let know lonely baby let know lonely babe let know lonely baby turn way could never turn turn not speak every meaning not belong like not belong not hold tightly let forever let know lonely babe let know lonely baby let know lonely babe let know lonely baby let know lonely babe might sweet let know lonely baby could meet let know lonely babe along way let know lonely baby could okay cynical age not ball chain risk reputation get room always reservation come lie beside let know lonely babe let know lonely baby beside let know lonely babe beside let know lonely baby beside let know lonely babe might sweet let know lonely baby could meet let know lonely babe along way let know lonely baby could okay could okay might sweet could meet along way could okay,Electronic,sad,positive,0.5,joy|anger
know trying appreciate help best leave many thing done sorry darling please not comfort sort somehow sing no sad song tell no lie please not make blue sing no sad song tell no lie girl without not go breaking heart would tear apart would finished good sing no sad song tell no lie please not make blue not want think mean refusing help time come need none want alone many thing done sorry darling please not comfort,,sad,positive,0.6667,sadness|anticipation
not kind boy girl like song dance symphony thought never would doubt tellin would much better without kind boy would always play fair kind girl would never square hard let go know not kind boy girl like kind boy would always play fair kind girl would never square hard let go know not kind boy not kind boy not kind boy girl like,Jazz,relaxed,positive,0.8,joy|trust
well felt held known woman love tasted wasted woman love know never understand little thing make grand woman love know never come face face anything take place woman love well kissed tried resist missed woman love hated taken granted woman love know never understand little thing make grand woman love know never come face face anything take place woman love well needed pleaded lost woman love worshipped cursed woman love know never understand little thing make grand woman love know never come face face anything take place woman love well adore thank god woman love,,happy,positive,0.5,joy|anticipation
lip meet innamorata kiss kiss sweet innamorata hold close say mine love warm wine heaven door innamorata want more more innamorata symphony very beautiful sonata innamorata say sweetheart love symphony very beautiful sonata innamorata say sweetheart one sweetheart say sweetheart love,,happy,positive,1.0,joy|anticipation
god bless america land love stand beside guide night light mountain prairie ocean wide hope god bless america home sweet home god bless america home sweet home god bless america mountain praries ocean wide hope god bless america home sweet home god bless america,Country,relaxed,positive,1.0,anticipation|joy
remember tell adore livin alone remember say lost without mad grown arm knew alone two say remember tell adore pray forevermore mine,Jazz,angry,positive,0.5,anticipation|joy
very thought forget little ordinary thing everyone ought living kind daydream happy queen foolish though may seem everything mere idea longing never know slow moment go til near see face every flower eye star thought very thought love see face every flower eye star thought very thought love,,relaxed,positive,0.6667,anticipation|joy
baby baby fallin love fallin love baby baby fallin love fallin love could never see fate planned came made dream match reality maybe see thing simple fate gate girl got key baby baby fallin love fallin love baby baby fallin love fallin love seems like yesterday first loved way know love grow every day lay midnight hour feel love hidden power strong bold life unfolds mystery baby baby fallin love fallin love baby baby fallin love fallin love eternity love always young free way got baby baby fallin love fallin love baby baby fallin love fallin love baby baby fallin love fallin love baby baby fallin love fallin love baby baby fallin love fallin love baby baby fallin love fallin love,,happy,positive,0.6667,joy|anticipation
setting fancy free want go tired loving told guess not know much mean along dream setting fancy free yes setting fancy free even though love still would no good held even thou girl best part world along dream setting fancy free oh lord not know hurt say goodbye best stay not say not try hope road take lead back along dream setting fancy free yes setting fancy free even though love still would no good held even thou girl best part world along dream setting fancy free yes setting fancy free even though love still would no good held even thou girl best part world along dream setting fancy free yes setting fancy free even though love still would no good held even thou girl best part world,,relaxed,positive,0.7,joy|trust
five hundred mile away home teardrop fell mama note read thing wrote said miss son love come home well not pack right back five hundred mile away home away home away home cold tired alone yes five hundred mile away home know road took day left home sure look different well guess look different time change everything wonder say see boy looking way oh wonder say get home not remember ate thumb walk wait still five hundred mile away home luck right would tonight still five hundred mile away home away home away home cold tired alone yes still five hundred mile away home lord still five hundred mile away home,Country,relaxed,negative,0.625,anticipation|surprise
bless day found want stay around beg let not take heaven one must cling someone forever let time meet love find complete love without sweet love would life never leave lonely tell love always let time meet love find complete love without sweet love would life never leave lonely tell love always let,Country,happy,positive,0.5714,joy|sadness
blue sky smiling nothing blue sky see blue bird singing song nothing blue sky never saw sun shining bright never saw thing going right noticing day hurrying love fly blue day gone nothing blue sky blue sky smiling nothing blue sky see blue day gone nothing blue sky blue sky smiling nothing blue sky see blue day gone nothing blue sky blue sky smiling nothing blue sky see blue day gone nothing blue sky,Country,relaxed,positive,1.0,joy|anticipation
happy happy birthday baby although somebody new thought would drop line say wish happy day would find beside happy happy birthday baby no not call baby seems like year ago met day not forget fell love remember name pretty baby could say goodbye hope not spoil birthday know acting kind crazy close note good luck wish happy happy birthday baby remember name prettyi baby could say goodbye hope not spoil birthday know acting kind crazy close note good luck wish happy happy birthday baby,,happy,positive,0.6923,joy|anticipation
not forget ever since moment met mind need somehow let know think time think love think give more ever need sooner later every heart need company think love think think love think stranger already wrapped around finger oh heart lingers thought wanting much want think love think give more ever need sooner later every heart need company think love think think love think make blue not holding tonight satisfy heart mine think love think give more ever need sooner later every heart need company think love think think love think give more ever need sooner later every heart need company think love think think love think give more ever need sooner later every heart need company think love think think love think,,happy,negative,0.75,sadness|anticipation
town agua fria rode stranger one fine day hardly spoke folk around not much say no one dared ask business no one dared make slip stranger among big iron hip big iron hip early morning rode town came riding south side slowly looking around outlaw loose running came whisper lip business big iron hip big iron hip town lived outlaw name texas red many men tried take many men dead vicious killer though youth twentyfour notch pistol numbered one nineteen more one nineteen more stranger started talking made plain folk around arizona ranger would not long town came take outlaw back alive maybe dead said not matter texas red texas red not long story relayed texas red outlaw not worry men tried dead twenty men tried take twenty men made slip twentyone would ranger big iron hip big iron hip morning passed quickly time meet twenty past eleven walked street folk watching window everybody held breath knew handsome ranger meet death bout meet death forty foot stopped make play swiftness ranger still talked today texas red not cleared leather fore bullet fairly ripped ranger aim deadly big iron hip big iron hip moment folk gathered round lay body outlaw ground oh might went livin made one fatal slip tried match ranger big iron hip big iron hip big iron big iron tried match ranger big iron hip big iron hip,Country,sad,negative,0.6875,anticipation|anger
hello hello hello wall hello hello thing go today not miss since upped walked away bet dread spend another lonely night lonely wall keep company hello window hello hello well see still not lonely since darling disappeared well look teardrop corner pane not try tell rain went away left u alone way planned yes learn get along without hello ceiling hello hello going stare awhile know not sleep not bear awhile must stick together else lose mind got feeling gone long long time hello hello wall,,sad,negative,0.5714,fear|anger
got problem not care need hand assure help got two strong arm help would sure good good let help fact people get lonely not nothing new woman like baby never blue let help got two let help would sure good good let help go sleep night always part dream holding tight telling everything want hear not forget baby got call know feel ya anything let help child need daddy help would sure good good let help go sleep night always part dream holding tight telling everything want hear well not forget baby got call know feel anything let help child need daddy help would sure good good let help,,relaxed,positive,0.5,trust|joy
holding hand midnight neath starry sky nice work get get try strolling one girl sighing sigh sigh nice work get get try imagine someone waiting cottage door two heart become one could ask anything more loving one love taking vow nice work get get not tell holding hand midnight neath starry sky strolling one girl sighing sigh sigh imagine someone waiting cottage door two heart become one could ask anything more loving one love taking vow nice work get get not tell,Jazz,relaxed,positive,1.0,joy|trust
right say met kind uhhuh uhhuh excuse dying little more uhhuh uhhuh baby know girl shshshake know shake bbbreak know take know yeah like way move shake shake slow slow slow slow think talkin uhhuh uhhuh baby sayin want uhhuh uhhuh first got show know right shshshake know shake bbbreak know take know yeah like way move shake shake slow slow slow slow know right right say right know right right yeah need see move tell yeah yeah yeah right yeah yeah yeah right right yeah shshshake know shake bbbreak know take know yeah like way move shake yeah shshshake know shake bbbreak know take know yeah like way move shake shake slow slow slow slow slow slow slow slow,,sad,positive,0.5,joy|trust
hey know going die baby going crash burn burn burn burn burn mechanized head god named zed keep telling right parallax view not unscrew get tight rock motherfucker rock motherfucker rock motherfucker yeah rock motherfucker rock motherfucker rock motherfucker yeah chew spit sick bubblegum blow stick sick bubblegum tear push sick bubblegum shove rip sick bubblegum fireproof stick not quick make think black numb day model hater brand new illusion scare rock motherfucker rock motherfucker rock motherfucker yeah rock motherfucker rock motherfucker rock motherfucker yeah chew spit sick bubblegum blow stick sick bubblegum tear push sick bubblegum shove rip sick bubblegum remember coop hit loop new god hollywood diamond daze locust play would not make could rock motherfucker rock motherfucker rock motherfucker yeah rock motherfucker rock motherfucker rock motherfucker yeah chew spit sick bubblegum blow stick sick bubblegum tear push sick bubblegum shove rip sick bubblegum,,sad,negative,0.625,fear|anger
used think perfect wish never ending day gone forever something not missing force voice head telling think time cruel mean not care walk away stay need hear make sick love make sick not one make sick love make sick not one take advantage moment pass hard manage ups down life someone help someone speak start scream anything break silence holding back confined doubt make sick love make sick not one make sick love make sick not one need need fall upon knee force voice head telling think everything last time believed realize make sick love make sick not one make sick love make sick not one make sick sick sick sick sick sick sick make sick sick sick sick sick make sick sick sick sick sick sick sick make sick sick sick sick sick,Metal,sad,negative,0.6667,fear|sadness
santana aight dipset bitch go baby not stop go baby not stop go damn shorty look good thinkin bout gettin okay time whistle ay girl make whistle blow go bring baby go bring baby top hot win heard want nobody want oh fly oh mami come get sit back bring back move til feel something hard back huh go want come get not kiddin go go girl let see get low go yeah like move thang like boomerang come right back go not need ask proceed grab chick love gd swagger go go damn shorty look good thinkin bout gettin okay time whistle ay girl make whistle blow go bring baby come go bring baby come ay girl let see get low go set baby go set baby oh go dipset oh go aight aight aight go dipset oh go aight aight ah got get hot terrific not fair guy know not limit no sky limit til thing baby keep movin movin movin thing keep ring maybe not ay girl make want know like pro lil lady bring let show lil lady go let u go lil lady crib telly know lil lady yes girl um yes cumfest girl til sun set girl girl first got get undressed girl take clothes get undressed girl damn shorty look good thinkin bout gettin okay time whistle ay girl make whistle blow go bring baby come go bring baby come ay girl let see get low go set baby go head go set baby,,relaxed,positive,0.6667,anger|anticipation
buzzing musical attack rip boom sound no lack got rhythm dub play killa track annihilate destroy letting know ah come rock control ho ho well setting pace place volume driving insane oh righto turn system know weak not take burn ground watch shatter break pressure stress drive underground pressure not take music kill sound pressure yeah turn never pressure stress drive underground pressure not take music kill sound pressure yeah turn never pressure pressure pressure neighbour banging door saying not take noise no more bass right face sound murder raw not turning call law let know rocker hard stay ho ho well tell move step back go away oh righto turn system know weak not take burn ground watch shatter break pressure stress drive underground pressure not take music kill sound pressure yeah turn never pressure stress drive underground pressure not take music kill sound pressure yeah turn never pressure pressure pressure pressure temperature rise turn heat feel pressure hold uno head feel pain pressure not take noise coz ah bring pressure no bodder tell turn music hold pressure uno got got got hold pressure uno got got got hold pressure uno got got got hold pressure uno got got got hold stress drive underground not take music kill sound pressure yeah turn never pressure stress drive underground pressure not take music kill sound pressure yeah turn never pressure pressure pressure,Metal,angry,negative,0.7333,fear|anger
let skin let let skin let dumb summer sun gone bring another dumb summer sun not come lover sister brother love love love skin love skin within love skin love skin within love dumb summer sun wait no fun let u go undercover close love love love skin love skin within love skin love skin within love skin love skin love skin love skin love skin love skin love skin love skin love skin love skin love skin love skin,,happy,positive,0.7143,anticipation|joy
uh long long away oh long not find no word say kept picture shelf thinkin bout babe remind thinkin bout babe always care still love oh flame flame something never change still hold vision mind say still love say love mesay love oh flame flame something never change still hold vision mind say still love say love say still love flame uh love ever make see oh somehow still apart maybe compromise love not disguised always care still love oh flame flame something never change still hold vision mind say still love say love mesay love oh flame flame something never change still hold vision mind say still love say love say still love flame oh kept picture shelf remind thinkin bout babe always care still love oh flame flame something never change something never change still hold vision mind say still love say love mesay love oh flame flame something never change still hold vision mind say still love say love say love say still love flame say still love say love say still love flame say still love say love say still love,,happy,positive,0.75,anticipation|anger
oh way love way love way love way love way love way love way love way love not clothes wear not thing buy not house hill not plane fly not black limousine not ninetyfoot yacht not thing get not thing got not money diamond ring honey not impressed material thing way love way love baby way love way love baby not friend top not fortune fame not heavy connection not hollywood game not famous people party throw honey not impressed people know way love heat night way love baby way love loving right way love baby way love thing way love baby way love make crazy way love baby break huh oh right huh keep right ow like ah guitar not money diamond ring baby honey not impressed material thing not trip brazil not weekend rome baby not french riviera know would rather stay home not bahamas not monaco honey not impressed place go way love way love baby way love way love baby way love not money way love diamond ring way love not buy baby way love not material thing way love not maserati way love house hill way love not party way love trip brazil watch dancin watch dancin watch dancin watchin girl go watch dancin keep arockin world go girl watch dancin dance go girl go paula dance watch dancin oh move go watch dancin watchin girl go girl watch dancin,,happy,positive,0.8571,joy|trust
spinning gracefully going nowhere quickly older day day still going back childhood way ooh circuital round round patiently getting lost guide worked nothing circuit running connect body deep ground circuit connect earth moon link heavenly body not moment soon well fling open window board satan jeweled crown christ humble cup think find lion den bloody battle belief system disappear vacuum total neutrality not lose nothing nothing gained well anyway cut spinning round circuit hallowed ground circuit hallowed ground ending place started right back place right back place started,Rock,sad,negative,0.5,trust|fear
two three yes lonely want die yes lonely want die not dead already woo girl know reason morning want die evening want die not dead already woo girl know reason mother sky father earth universe know worth lonely want die not dead already woo girl know reason eagle pick eye worm lick bone feel suicidal like dylan mr jones lonely want die not dead already woo girl know reason black cloud crossed mind blue mist round soul feel suicidal even hate rock roll want die yeah want die not dead already woo girl know reason yes lonely want die yes lonely want die not dead already girl know reason,Rock,sad,negative,0.5385,sadness|fear
not pity not shame break others heart pain take others love without thinking anymore forgetting give back not pity thing take long explain not many people see tear eye not hope see beauty surround not pity not pity not shame break others heart pain take others love without thinking anymore forgetting give back not pity forgetting give back not pity forgetting give back not pity pity pity pity pity na pity pity pity pity na pity na pity pity pity pity na pity na pity pity pity pity na na pity na pity pity pity pity na na pity na pity pity pity pity na nana nananana nananana pity not pity pity pity pity pity na nana nananana nananana pity not pity pity pity pity pity na nana nananana nananana pity not pity pity pity pity pity na nana nananana nananana pity not pity pity pity pity pity na nana nananana nananana pity not pity pity pity pity pity na nana nananana nananana pity not pity pity pity pity pity na nana nananana nananana pity not pity pity pity na nana nananana,,sad,positive,0.625,joy|anticipation
god hellfire bring fire take burn fire take learn see burn fought hard saved earned going burn mind tiny mind know really blind now time burn mind fallen far far behind oh no oh no oh no going burn fire destroy done fire end become feel burn living like little girl middle little world mind tiny mind know really blind now time burn mind fallen far far behind ooh fire take burn fire take learn going burn going burn going burn burn burn burn burn burn burn burn burn burn burn fire take burn fire take learn fire take bed fire take fire,,angry,positive,1.0,fear|anticipation
ooh baby yeahayy yeah yeah yeah yeahayy nanananaayy nice nice know ya let u one night stand girl want more friend ya nice nice know ya let u one night stand girl want more friend ya like food sens time priceless no expense like water dem dry trench theme song every entrance dinner movie fire di doobie raised vibe dis girl scoot closer call babe call boogie beauty intelligence really move nice nice know ya let u one night stand girl want more friend ya nice nice know ya let u one night stand girl want more friend ya dis not first rendezvous relationship wellrounded graduated love certificate ayy want lovah lovah stimulate body mentally ayy no fuss straight not liar use shouldah want cry yeah love real not like dem guy feel sorry signed win first prize nice nice know ya let u one night stand girl want more friend ya nice nice know ya let u one night stand girl want more friend ya lookin pretty real nice lightly remote got de perfect body type like paradise neva seen girl live da hype ayy aayy hawaiian samoan fijian maori tahiti tonga big ups caribbean girl keep proper latino sexy mama boogie corleon givin holler nice nice know ya let u one night stand girl want more friend ya nice nice know ya let u one night stand girl want more friend ya nice nice know ya let u one night stand girl want more friend ya nice nice know ya let u one night stand girl want more friend ya,,relaxed,positive,0.75,joy|trust
ooh giving fever tonight not want give would playing fire forget seen work take straight top leave cry more seen burn fire ice come like flame turn cold shoulder fire ice want give love take little piece heart tear apart moving kill tonight got every advantage put light not pretty fade away illusion passion play seen burn fire ice come like flame turn cold shoulder fire ice want give love take little piece heart think got figured expert field without doubt know method inside not taken fire ice fire ice come like flame turn cold shoulder fire ice want give love take little piece heart come like flame turn cold shoulder fire ice want give love take little piece heart come like flame turn cold shoulder fire ice come like flame turn cold shoulder fire ice,Rock,angry,positive,0.5,trust|sadness
used everything girl um hm girl held near told much cared girl um hm girl girl laughter loving world everyday girl oh joy would bring lost everything gone gone gone gone gone spend night dreaming used girl girl girl laughter loving world yes girl oh joy would bring lost everything gone big legged girl gone used everything girl yeah girl girl foxy not see girl belongs girl walk street would tell everyone meet girl girl loved loved,,relaxed,positive,0.75,joy|anticipation
remember met day knew pet want tell much love come love sea sea love want tell much love come sea love remember met day knew pet want tell oh much love come sea love come love sea sea love want tell much love want tell oh much love,,happy,positive,0.6667,joy
live wind pouring rain somewhere th avenue main summer heat winter freezing snow see got nowhere else go got no home sweet home world bound roam long hard road known way home sweet home people pas not see wish would disappear guess know way deep bone could looking home home sweet home world bound roam long hard road known way home sweet home oh place lay head crumb two daily bread perhaps someday kind soul come along help find way back belong back home sweet home world bound roam long hard road known way home sweet home sweet home god child lookin home long hard road known way home sweet home,Country,relaxed,positive,0.7143,anticipation|joy
hmm hmm hmm yeah hmm hmm hmm yeah hmm hmm hmm yeah oh yeah oh yeah oh yeah say pressure drop oh pressure oh yeah pressure going drop say pressure drop oh pressure oh yeah pressure going drop say drop oh going feel know wrong say drop oh going feel know wrong hmm hmm hmm yeah hmm hmm hmm yeah hmm hmm hmm yeah say pressure drop oh pressure oh yeah pressure going drop say pressure drop oh pressure oh yeah pressure going drop oh yeah oh yeah oh yeah say pressure drop oh pressure oh yeah pressure going drop say pressure drop oh pressure oh yeah pressure going drop say drop oh going feel pressure pressure pressure pressure pressure drop oh pressure pressure pressure pressure pressure say pressure drop oh pre oh pressure pressure pressure pressure pressure pressure pressure going drop pressure pressure oh yeah pressure going drop say pressure drop oh pressure oh yeah pressure going drop say pressure drop oh pressure oh yeah pressure going drop yeah yeah pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure pressure going drop pressure pressure pressure pressure pressure pressure going drop say pressure drop oh pressure oh yeah pressure going drop,Rock,angry,negative,1.0,disgust|anger
kestrel breed looking farther see without tact read would take shine beacon not fly high beacon not fly high time playful crime rain worth cold roofing lane lesson lost lesson lost cute take bus fee favour gone crack saver pas white sometimes shone wanton borrowed gun wanton borrowed gun kestrel breed looking farther see without tact read would take shine beacon not fly high beacon not fly high,Electronic,sad,negative,0.5,anger|anticipation
day past gone hour death near,Electronic,sad,negative,1.0,anger|anticipation
wish knew love no one else world darling please save love run away wise would run away like fool stay pray aave love feel even not not conceal really love dear though know no good come loving not thing love darling help please mercy fool like unwise still plead darling please save love feel even not not conceal really love dear though know no good come loving not thing love darling help please mercy fool like know lost stll plead darling please save love fun crowd cry loud darling please save love,,happy,positive,0.6667,joy|trust
well judged bug unknown know heart strong away running save head yeah warrant almost dead not say already said got get away yeah warrant head got get away want alive dead got get away yeah warrant head got get away want alive dead thought lot way fight come phone line not man enough face not stop argue say yeah warrant not going pay said going say got get away yeah warrant head got get away want alive dead got get away yeah warrant head got get away want alive dead fear like fake friend warms take mouth word no sound come fear like best friend manipulates take mouth word no sound not know better not know better got get away yeah warrant head got get away want alive dead got get away yeah warrant head got get away want alive dead got get away yeah warrant head got get away want alive dead got get away yeah warrant head got get away want alive dead,Rock,angry,negative,0.5455,trust|anticipation
leaving not love leaving not love oh knowledge knowledge knowledge future clarity make voice tremble greater dignity leaving not love leaving not love sorry brutally honestly cold excuse baby snow could not hold pick asthma inhaler put gainst lip oh lip loved dreaming still red soft sorry could not love enough sorry could not love enough sorry leaving not love leaving not love pick asthma inhaler put gainst lip oh lip loved dreaming still red soft sorry could not love enough sorry could not love enough sorry,Pop,happy,positive,0.75,joy|trust
sap tree tap blood sea map christian see papa tell love taught love wild fight gym taught bottle give birth cup not get hurt keep hand stand tall like sycamore like sycamore like sycamore sycamore got grow grow young root toil soil like baby first cup bend two say green fire want part fire want fire part fire like sycamore like sycamore like sycamore sap tree tap blood sea map christian see papa tell love remember love wild fight gym remember bottle give birth cup not get hurt keep hand stand tall like sycamore like sycamore like sycamore,,angry,positive,0.5833,joy|trust
nothing without pretend know thought not live nothing without man know fault not hide still keep baby teeth bedside table jewelry still sleep bed jewelry baby teeth not need another friend most barely keep perfectly able hold hand still not kiss neck wanted give everything still stand awe superficial thing wanted love like mother mother mother civilian civilian,Pop,relaxed,positive,0.5556,joy|anticipation
spy house love know dream dreamin know word long hear know deepest secret fear spy house love know dream dreamin know word long hear know deepest secret fear know everything everything everywhere go everyone know spy house love know dream dreamin know word long hear know deepest secret fear know deepest secret fear know deepest secret fear spy see know,Rock,angry,positive,0.6667,trust|anger
oppression holy law god distrust time monument fall like ash dust war greed master plan bible began propaganda sell despair spread virus everywhere religion hate religion fear religion war religion rape religion obscene religion whore pestilence jesus christ never sacrifice no man upon crucifix beware cult purity infectious imbecility made choice sixsixsix corruption breed pedophile not pray priest confession find lonely child god prey weak think soul still saved think fuckin mile away scream loud begin forgive father sinned religion hate religion fear religion war religion rape religion obscene religion whore target fucking jesus christ would led sacrifice nailed crucifix beware cult purity infectious imbecility made choice sixsixsix jesus pain jesus gore jesus blood spilled war everything thing dead pulling trigger pointed head fear sold fraud revelation revolution see christ illusion war terror drag along war god growing strong propaganda sell despair spread violence everywhere religion hate religion fear religion war religion rape religion obscene religion whore no fuckin jesus christ never sacrifice no man upon crucifix beware cult purity infectious imbecility made choice sixsixsix,Metal,angry,negative,0.7381,fear|disgust
diseased not take pain would rather die alive inside sobriety fuel fire weed pill booze set free throw away throw away new reckoning scream suffering burn like gasoline self medicate pain escape world shame obscurity lead severity self medicate pain escape world hate self medicate dizzy suffocating lie feed deny deny hope sanity fuel fire weed pill booze set free throw away blow away throw away new reckoning scream suffering burn like gasoline self medicate pain escape world shame obscurity lead severity self medicate pain escape world hate self medicate standing watching part die see starting fade away though true always wondered would say goodbye fall not pretend no resurrection fall hear scream diseased not take pain would rather die alive inside sobriety fuel fire weed pill booze set free throw away throw away throw away suffering burn like gasoline self medicate pain escape world shame obscurity lead severity self medicate pain escape world hate self medicate,Metal,angry,negative,0.68,fear|sadness
took home drank much liver turned dust cold rust taste cruel creeping cold pain understand mean feel soul drop floor like hole like open bleeding sore bled like bled wept wept suck time rock roll let u hit bar let u lose control one false move took home one false move alone look good feel nice paid price cut hear scream get away get away feel heartbeat racing realize must get away get away get away turned ran like hell last time got taste turned ran like hell see turned ran like hell last time got taste turned ran like hell see see fell upon like plague weakness sweet weakness digress like rest suck time rock roll let u hit bar let u lose control one false move took home one false move alone,Metal,sad,negative,0.8,sadness|fear
