term,valence
cleavage,0.542
clef,0.615
clemency,0.594
clergy,0.531
clergyman,0.594
cleric,0.521
clerical,0.52
clerk,0.5
clerkship,0.582
clever,0.896
cleverness,0.878
click,0.536
client,0.583
clientele,0.625
climate,0.635
climatology,0.531
climax,0.735
climb,0.615
climber,0.573
clipboard,0.594
clitoris,0.625
cloaking,0.521
cloakroom,0.69
clock,0.677
closeness,0.796
closet,0.531
cloth,0.51
clothe,0.797
clothes,0.833
clothesline,0.582
clothing,0.75
cloud,0.74
clouds,0.735
clout,0.584
clover,0.605
clown,0.65
clowns,0.6
club,0.646
clubhouse,0.694
clubs,0.723
clue,0.653
clump,0.551
clutches,0.542
coach,0.633
coast,0.719
coastal,0.604
coaster,0.612
coastline,0.745
coat,0.677
coating,0.62
cobbler,0.51
cockpit,0.52
cocktail,0.74
cocoa,0.776
coconut,0.622
cod,0.51
code,0.583
codex,0.531
coefficient,0.677
coexist,0.708
coexistence,0.588
coexisting,0.551
coffee,0.823
coffee table,0.72
coffeehouse,0.694
coffeepot,0.76
cogent,0.765
cognac,0.615
cognate,0.615
cognition,0.635
cognitive,0.513
cohabitation,0.646
coherence,0.72
coherent,0.698
cohesion,0.604
cohesive,0.531
coin,0.677
coinage,0.5
coincide,0.635
coincidence,0.612
coincident,0.562
coincidental,0.646
coinciding,0.673
coleslaw,0.707
coliseum,0.612
collaborate,0.816
collaboration,0.885
collaborator,0.729
collage,0.68
collagen,0.541
collar,0.656
collateral,0.531
collation,0.52
colleague,0.74
collect,0.635
collected,0.57
collection,0.725
collective,0.583
collectively,0.817
collector,0.552
college,0.7
collegiate,0.592
collie,0.562
collocation,0.637
colloquial,0.604
cologne,0.677
colonial,0.553
colony,0.716
colophon,0.5
color,0.786
coloration,0.541
colored,0.806
colorful,0.85
coloring,0.781
colors,0.875
colossal,0.698
colt,0.561
columbine,0.52
columnist,0.646
combatant,0.531
combination,0.708
combinatorial,0.561
combine,0.663
combined,0.622
combo,0.698
come,0.529
comeback,0.58
comedian,0.812
comedy,0.918
comet,0.704
comfort,0.863
comfortable,0.927
comforter,0.618
comforting,0.906
comfy,0.93
comic,0.917
comical,0.844
comics,0.69
coming,0.653
commandant,0.622
commandeer,0.552
commander,0.531
commanding,0.562
commandment,0.656
commemorate,0.812
commemoration,0.719
commemorative,0.75
commence,0.76
commend,0.906
commendable,0.786
commendation,0.911
commensurate,0.61
comment,0.667
commentary,0.602
commerce,0.646
commercial,0.806
commission,0.677
commissioner,0.602
commitment,0.714
committed,0.71
committee,0.592
commodity,0.615
common,0.6
commonly,0.604
commonplace,0.52
commons,0.633
commonwealth,0.63
communal,0.592
commune,0.5
communicable,0.796
communicate,0.823
communication,0.837
communicative,0.847
communicator,0.573
communion,0.765
community,0.75
commutative,0.667
commute,0.622
commuter,0.646
comp,0.573
compaction,0.531
compactness,0.582
companion,0.77
companionship,0.833
company,0.906
comparable,0.562
comparatively,0.604
compare,0.552
comparison,0.583
compartment,0.5
compass,0.541
compassion,0.735
compassionate,0.857
compatibility,0.816
compatible,0.892
compelling,0.698
compendium,0.61
compensate,0.612
compensation,0.775
compensatory,0.589
compete,0.573
competence,0.615
competency,0.768
competent,0.865
competition,0.58
competitor,0.612
compilation,0.53
compile,0.6
complacency,0.604
complacent,0.625
complement,0.76
complementary,0.714
complete,0.75
completed,0.823
completely,0.73
completeness,0.823
completing,0.614
completion,0.656
complexion,0.521
compliance,0.75
compliant,0.677
compliment,0.82
complimentary,0.823
comply,0.806
complying,0.729
compo,0.5
component,0.531
compose,0.639
composed,0.684
composer,0.822
composite,0.591
composition,0.765
composure,0.802
compound,0.635
comprehend,0.875
comprehension,0.908
comprehensive,0.796
compressible,0.622
compression,0.646
comprise,0.839
compromise,0.677
computable,0.57
computation,0.583
compute,0.531
computer,0.802
computerized,0.677
computing,0.745
comrade,0.781
concede,0.67
conceivable,0.73
conceive,0.708
concentrate,0.75
concentration,0.735
concentric,0.73
concept,0.573
conception,0.694
concert,0.938
concerto,0.613
concession,0.588
concessional,0.77
conch,0.583
conciliation,0.792
concise,0.583
conclave,0.573
conclude,0.53
concluding,0.531
conclusion,0.615
conclusive,0.5
concord,0.677
concordance,0.625
concours,0.5
concourse,0.74
concrete,0.633
concurrence,0.764
concurrent,0.573
concurring,0.573
condensation,0.51
condensed,0.598
condescending,0.583
condescension,0.521
condiment,0.52
condition,0.5
conditional,0.521
conditioner,0.781
conditions,0.551
condone,0.571
condor,0.573
conducive,0.775
conduction,0.53
conductivity,0.583
conductor,0.677
confederacy,0.59
confederate,0.551
confederation,0.663
confer,0.573
conference,0.688
confetti,0.781
confidant,0.837
confide,0.669
confidence,0.959
confident,0.765
confidential,0.643
confidentiality,0.667
confidentially,0.633
configuration,0.54
confirm,0.802
confirmation,0.812
confirmatory,0.656
confirmed,0.76
confluence,0.677
conformance,0.608
conformation,0.622
conformity,0.645
congenial,0.82
conglomerate,0.5
conglomeration,0.541
congrats,0.93
congratulate,0.927
congratulation,0.948
congratulations,0.96
congratulatory,0.959
congregate,0.653
congregation,0.561
congressional,0.552
congruence,0.656
conic,0.51
conjugal,0.698
conjugate,0.583
conjunction,0.52
connect,0.724
connected,0.816
connection,0.729
connective,0.719
connoisseur,0.76
conquer,0.694
conquering,0.76
conqueror,0.604
conquest,0.71
conscience,0.663
conscientious,0.688
conscious,0.74
consciousness,0.84
consecrated,0.663
consecration,0.771
consecutive,0.663
consensual,0.663
consensus,0.627
consent,0.75
consenting,0.727
consequent,0.663
conservation,0.832
conservative,0.615
conservatory,0.635
conserve,0.69
consider,0.677
considerable,0.653
considerate,0.781
consideration,0.589
consignee,0.635
consist,0.823
consistency,0.714
consistent,0.786
console,0.625
consoled,0.7
consolidate,0.88
consolidated,0.7
consolidation,0.604
consonant,0.5
consort,0.632
constable,0.573
constancy,0.786
constant,0.74
constantly,0.663
constellation,0.719
constituency,0.5
constituent,0.573
constituents,0.573
constitute,0.812
constitution,0.59
constitutional,0.633
constitutionality,0.612
construct,0.75
construction,0.848
constructive,0.86
construe,0.602
consul,0.573
consulate,0.561
consult,0.755
consultant,0.77
consultation,0.66
consumer,0.507
consuming,0.573
consummate,0.551
consummation,0.583
contact,0.719
contain,0.542
container,0.551
contemplate,0.74
contemplation,0.552
contemplative,0.729
contemporaneous,0.64
contemporary,0.72
contend,0.51
content,0.764
contented,0.857
contentment,0.875
contents,0.656
contest,0.667
contestant,0.76
context,0.531
continent,0.551
continual,0.5
continually,0.646
continuance,0.729
continuation,0.615
continue,0.63
continued,0.635
continuing,0.667
continuity,0.781
continuous,0.625
continuously,0.719
continuum,0.677
contour,0.589
contract,0.594
contracting,0.594
contractor,0.592
contrasted,0.521
contribute,0.806
contribution,0.854
contributor,0.844
control,0.729
convection,0.521
convene,0.583
convenience,0.781
conveniences,0.802
convenient,0.846
convention,0.622
conventional,0.594
converge,0.635
convergence,0.551
convergent,0.781
conversant,0.724
conversation,0.75
conversational,0.719
conversationalist,0.719
converse,0.594
conversing,0.755
convert,0.551
converted,0.663
convertible,0.542
convey,0.719
conveyance,0.615
conviction,0.615
convince,0.708
convinced,0.75
convincing,0.76
convocation,0.538
convoy,0.5
cook,0.847
cookbook,0.602
cooker,0.592
cookery,0.633
cookie,0.792
cookies,0.823
cooking,0.694
cookout,0.68
cool,0.885
coolant,0.72
cooler,0.664
coop,0.612
cooperate,0.898
cooperating,0.76
cooperation,0.847
cooperative,0.816
coordinate,0.698
coordination,0.677
coordinator,0.75
copacetic,0.51
cope,0.592
copilot,0.64
coping,0.562
copper,0.58
copter,0.571
coral,0.802
cordial,0.823
cordless,0.667
corduroy,0.57
core,0.721
corn,0.594
cornbread,0.643
cornea,0.521
cornerstone,0.55
cornet,0.507
cornfield,0.719
cornflakes,0.729
cornstarch,0.643
corona,0.818
coronary,0.567
coronation,0.792
corporal,0.582
corporate,0.592
corporeal,0.52
corps,0.551
corpus,0.543
corral,0.606
correct,0.857
correctness,0.796
correlation,0.596
correlative,0.51
correspond,0.71
correspondence,0.663
correspondent,0.573
corresponding,0.74
corridor,0.604
corroborate,0.671
corroboration,0.625
corsage,0.51
cortex,0.594
corvette,0.551
cosmetic,0.625
cosmetics,0.765
cosmic,0.663
cosmology,0.651
cosmopolitan,0.823
cosmos,0.86
costume,0.548
cosy,0.847
cot,0.625
cottage,0.6
cotton,0.639
couch,0.594
council,0.875
councilman,0.531
counsel,0.594
counseling,0.667
counsellor,0.823
counselor,0.873
count,0.594
countenance,0.635
counterbalance,0.52
countess,0.562
countless,0.52
country,0.698
countryman,0.673
countrymusic,0.795
countryside,0.732
couple,0.806
coupled,0.612
coupling,0.594
coupon,0.704
courage,0.83
courageous,0.918
courier,0.551
courses,0.735
coursing,0.542
courteous,0.937
courtesy,0.927
courthouse,0.571
courtship,0.667
courtside,0.592
courtyard,0.503
cousin,0.675
cousins,0.76
cove,0.5
covenant,0.594
coverage,0.767
covered,0.562
covering,0.615
covert,0.5
coveted,0.661
cowboy,0.594
cowgirl,0.541
coworker,0.667
cozy,0.91
cracker,0.604
crackerjack,0.567
cradle,0.776
craft,0.76
crafts,0.667
craftsman,0.719
craftsmanship,0.823
crafty,0.589
cranberry,0.793
cranberry juice,0.622
crave,0.625
craving,0.51
crawfish,0.51
crayon,0.604
crayons,0.684
cream,0.688
creamed,0.723
creamer,0.594
creamy,0.823
create,0.786
creation,0.927
creative,0.917
creativity,0.938
creator,0.865
creature,0.669
credence,0.76
credential,0.735
credentials,0.708
credibility,0.875
credible,0.917
credit,0.673
credit card,0.67
creditable,0.802
credited,0.781
crediting,0.673
creed,0.573
creek,0.552
creole,0.667
crepe,0.562
crescendo,0.76
crescent,0.698
crew,0.604
crewman,0.602
crib,0.653
crimson,0.667
crisp,0.776
crispy,0.656
critter,0.542
crockery,0.552
croft,0.531
croissant,0.745
crop,0.615
croquet,0.551
cross country,0.531
crossing,0.549
crossover,0.559
crosswalk,0.557
crossword,0.611
crotch,0.521
croupier,0.531
crowded,0.694
crown,0.708
crowning,0.773
crucial,0.541
cruise,0.74
cruise ship,0.878
cruiser,0.737
cruising,0.886
crunchy,0.625
crusade,0.592
crust,0.542
crusty,0.625
crystal,0.618
crystalline,0.765
crystallization,0.6
cub,0.646
cuddle,0.885
cuddled,0.906
cuddles,0.847
cuddling,0.917
cue,0.521
cuisine,0.714
culinary,0.654
culminate,0.667
culmination,0.656
cultivate,0.708
cultivated,0.837
cultivation,0.625
cultural,0.802
culture,0.753
cultured,0.635
cumulus,0.57
cunning,0.604
cup,0.615
cupboard,0.553
cupcake,0.656
curable,0.823
curate,0.726
curative,0.667
curator,0.688
curd,0.542
cure,0.719
curiosity,0.75
curious,0.635
curling,0.583
currency,0.583
current,0.625
curriculum,0.708
curry,0.633
curtain,0.698
curtains,0.615
curtsy,0.635
curved,0.542
cushion,0.653
cushy,0.823
cusp,0.667
custard,0.618
custodian,0.594
custom,0.552
customary,0.7
customer,0.562
customized,0.625
cute,0.92
cutie,0.638
cutlery,0.552
cwt,0.5
cyberspace,0.677
cycle,0.635
cyclist,0.684
cymbal,0.542
dab,0.51
dabble,0.55
dabbling,0.562
dad,0.857
daddy,0.795
dado,0.51
daily,0.653
dainty,0.604
daiquiri,0.67
dairy,0.633
daisy,0.562
dak,0.51
dale,0.622
dame,0.694
damsel,0.719
dance,0.894
dancer,0.74
dancing,0.885
dandy,0.673
dapper,0.77
dare,0.677
daresay,0.54
daring,0.583
darling,0.885
dash,0.574
dashboard,0.51
dashing,0.612
data,0.5
database,0.604
date,0.604
datenight,0.708
daughter,0.908
dawn,0.827
dawned,0.694
day,0.719
daybreak,0.802
daycare,0.776
daydream,0.75
daydreaming,0.776
daylight,0.865
daymade,0.646
dayoff,0.76
daytime,0.75
dazzle,0.73
dazzling,0.854
deacon,0.531
deal,0.719
dealer,0.799
dealership,0.541
dealing,0.724
dealings,0.6
dean,0.612
dear,0.88
dearest,0.902
debut,0.806
debutante,0.771
decade,0.531
decathlon,0.573
december,0.74
decency,0.75
decent,0.823
decide,0.656
decidedly,0.75
decimal,0.507
decimeter,0.52
decision,0.646
decisive,0.74
declaration,0.551
declaratory,0.635
declare,0.677
deco,0.625
decode,0.551
decoder,0.562
decontamination,0.611
decor,0.734
decorate,0.954
decorating,0.863
decoration,0.878
decorative,0.908
decorator,0.84
decorum,0.802
decree,0.552
dedicate,0.823
dedication,0.867
deed,0.52
deejay,0.551
deem,0.594
deepen,0.625
deer,0.583
defend,0.698
defended,0.663
defender,0.639
defending,0.604
defense,0.652
defensible,0.74
defensive,0.542
deference,0.51
deferral,0.765
define,0.688
defined,0.67
definite,0.708
definition,0.573
definitive,0.583
deft,0.719
degree,0.724
delectable,0.781
delegate,0.612
delegation,0.562
deli,0.561
deliberate,0.551
deliberation,0.561
delicacy,0.812
delicate,0.583
delicatessen,0.656
delicious,0.927
delight,0.949
delighted,0.938
delightful,0.918
delineation,0.521
deliver,0.583
deliverance,0.75
delivery,0.704
delta,0.551
deluxe,0.792
demeanor,0.633
demo,0.51
democracy,0.68
democrat,0.582
democratic,0.802
demonstrable,0.735
demonstrate,0.771
demonstrated,0.617
demonstrating,0.698
demonstration,0.551
demonstrative,0.656
demonstrator,0.52
demure,0.69
den,0.51
denim,0.52
density,0.602
dental,0.573
department,0.708
departmental,0.612
departure,0.573
dependable,0.88
depict,0.663
deploy,0.5
deployment,0.51
deposit,0.54
depositary,0.604
depository,0.551
depot,0.635
depth,0.708
derivation,0.521
derivative,0.541
dermatologist,0.531
descendant,0.684
describe,0.542
description,0.582
descriptive,0.667
deserve,0.802
deserved,0.781
deserving,0.802
design,0.796
designate,0.531
designated,0.5
designation,0.612
designed,0.745
designer,0.875
designing,0.792
desirability,0.684
desirable,0.74
desire,0.896
desiring,0.814
desirous,0.719
desk,0.51
dessert,0.755
destination,0.708
destined,0.698
destiny,0.781
detail,0.514
detailed,0.603
details,0.583
detect,0.531
detection,0.708
detective,0.5
determinable,0.625
determinate,0.63
determination,0.776
determine,0.612
determined,0.76
develop,0.771
developer,0.844
developing,0.833
development,0.827
device,0.562
devise,0.551
devote,0.802
devoted,0.867
devotee,0.816
devotion,0.802
devotional,0.74
devout,0.62
dew,0.604
dexterity,0.771
diagnosis,0.571
diagnostics,0.54
diagonal,0.5
diagram,0.562
dial,0.62
dialect,0.635
dialectic,0.51
dialogue,0.599
diamond,0.91
diamonds,0.927
diary,0.698
dibs,0.51
dictionary,0.62
didactic,0.645
dietary,0.551
different,0.612
differential,0.52
digest,0.72
digestion,0.531
digestive,0.542
digital,0.74
dignified,0.766
dignify,0.854
dignity,0.844
dildo,0.536
diligence,0.688
diligent,0.76
dime,0.653
dimension,0.592
dimensional,0.561
dine,0.821
diner,0.643
dinghy,0.51
dingo,0.608
dining,0.724
dinner,0.823
dinnertime,0.796
diocesan,0.52
diocese,0.51
diorama,0.592
dip,0.516
diploma,0.75
diplomacy,0.74
diplomat,0.563
diplomatic,0.653
dipper,0.548
direct,0.793
directed,0.542
direction,0.719
directive,0.604
directly,0.747
director,0.688
disc,0.622
discerning,0.542
disciple,0.765
disciplinary,0.562
discipline,0.615
disciplined,0.728
disclosure,0.5
disco,0.71
discount,0.724
discounted,0.677
discover,0.771
discovery,0.823
discreet,0.552
discrete,0.585
discretion,0.552
discretionary,0.52
discus,0.542
disguise,0.573
disguised,0.5
dish,0.552
disinfectant,0.531
disinfection,0.517
disk,0.573
diskette,0.531
dispense,0.561
dispenser,0.583
displacency,0.5
display,0.677
dispose,0.548
disposed,0.688
disposition,0.663
disseminate,0.562
distillate,0.5
distinct,0.542
distinction,0.584
distinctive,0.885
distinguish,0.675
distinguishable,0.635
distinguished,0.823
distinguishing,0.622
distribute,0.643
distribution,0.635
distributor,0.702
diurnal,0.714
diva,0.66
divan,0.75
dive,0.583
diver,0.594
divers,0.583
diverse,0.562
diversified,0.602
diversify,0.656
diversion,0.74
diversionary,0.551
diversity,0.806
dividend,0.583
divination,0.5
divine,0.918
divinity,0.896
divulge,0.531
do,0.67
doable,0.76
docile,0.604
docket,0.505
doctor,0.7
doctorate,0.776
doctrinal,0.51
doctrine,0.5
document,0.594
documentary,0.622
documentation,0.719
documents,0.53
doe,0.55
doer,0.724
dog,0.704
doggy,0.646
dogma,0.53
dogsick,0.571
doings,0.604
doit,0.5
dojo,0.5
doll,0.729
dollar,0.755
dollhouse,0.643
dolphin,0.776
domain,0.573
dome,0.62
domestic,0.729
domesticated,0.635
domestication,0.594
domicile,0.604
domiciled,0.542
dominance,0.542
domination,0.505
dominion,0.542
domino,0.594
don,0.646
donate,0.774
donation,0.792
donor,0.714
doodle,0.604
door,0.549
doorbell,0.564
doorman,0.57
doorstep,0.531
doorway,0.573
dopamine,0.548
dorm,0.719
dormitory,0.633
doting,0.888
double,0.677
doubtless,0.688
dough,0.588
doughnut,0.663
dove,0.729
downfield,0.521
download,0.602
downright,0.625
downriver,0.542
downy,0.63
dowry,0.604
doze,0.592
dozen,0.583
dragon,0.541
dragonfly,0.571
draw,0.704
drawbridge,0.551
drawers,0.539
drawing,0.698
dream,0.844
dreamboat,0.776
dreamer,0.82
dreaming,0.854
dreamland,0.844
dreams,0.865
dreamt,0.812
dreamy,0.837
dress,0.76
dresser,0.604
dressmaker,0.698
dressy,0.8
drink,0.65
drinking,0.562
drinks,0.729
drive,0.625
driver,0.553
driveway,0.612
drizzle,0.521
droplet,0.625
drove,0.541
druid,0.517
drum,0.615
drummer,0.646
drumming,0.594
dual,0.573
dub,0.51
duchess,0.656
duck,0.594
duckling,0.602
ducky,0.52
ductile,0.508
dude,0.809
due,0.562
duet,0.694
duffel,0.5
duke,0.667
dumpling,0.58
duo,0.51
duplex,0.592
duplicate,0.521
durability,0.75
durable,0.74
duration,0.656
dusk,0.532
dustpan,0.609
dutiful,0.724
duty,0.583
dwell,0.698
dweller,0.615
dwelling,0.765
dynamic,0.724
dynamical,0.786
dynamics,0.745
dynamo,0.531
dynasty,0.725
eager,0.521
eagle,0.604
earful,0.533
earl,0.582
earlier,0.562
early,0.633
earn,0.865
earnest,0.653
earnestly,0.847
earnestness,0.812
earnings,0.938
earpiece,0.583
earring,0.583
earrings,0.676
earshot,0.552
earth,0.75
earthenware,0.552
earthling,0.531
earthly,0.625
ease,0.796
easel,0.694
easily,0.885
east,0.51
eastbound,0.541
eastern,0.521
easy,0.865
easygoing,0.823
eat,0.731
eating,0.847
ebullient,0.659
eccentric,0.531
ecclesiastical,0.673
echinacea,0.592
echo,0.573
eclectic,0.646
eclipse,0.541
ecliptic,0.531
ecological,0.885
economic,0.561
economical,0.667
economics,0.625
economy,0.583
ecosystem,0.729
ecstasy,0.796
ecstatic,0.875
ecumenical,0.561
eddy,0.5
edible,0.75
edification,0.625
edifice,0.551
edit,0.51
editing,0.604
edition,0.542
editor,0.772
editorial,0.583
educate,0.76
educated,0.816
education,0.896
educational,0.745
educator,0.827
effect,0.57
effective,0.844
effectiveness,0.64
effectual,0.776
effectually,0.724
effectuate,0.51
efficacious,0.823
efficacy,0.802
efficiency,0.802
efficient,0.959
effigy,0.51
effort,0.698
effortless,0.626
egg,0.684
eggnog,0.635
eggplant,0.592
eight,0.54
eighteen,0.523
eighth,0.531
eighty,0.5
ejaculate,0.604
ejaculation,0.615
elaborate,0.561
elaboration,0.708
elan,0.562
elapse,0.514
elapsed,0.583
elastic,0.656
elasticity,0.635
elated,0.792
elation,0.74
elderly,0.615
elders,0.602
eldest,0.625
elect,0.667
election,0.625
elective,0.612
electorate,0.56
electric slide,0.542
electrical,0.531
electricity,0.698
electrify,0.52
electromagnetic,0.531
electron,0.52
electronic,0.571
electronics,0.708
elegance,0.918
elegant,0.865
element,0.531
elemental,0.627
elementary,0.594
elements,0.51
elephant,0.531
elevate,0.812
elevated,0.704
elevation,0.76
elevator,0.562
eleventh,0.594
eligible,0.75
elite,0.688
elitist,0.5
elixir,0.708
ellipse,0.531
ellipsis,0.653
ellipsoid,0.5
elliptic,0.5
elm,0.51
elongate,0.583
elongation,0.561
eloquence,0.729
eloquent,0.87
elucidate,0.583
elucidation,0.65
email,0.698
emanate,0.653
emancipation,0.704
embankment,0.677
embark,0.541
embassy,0.622
embellish,0.842
embellishment,0.673
emblem,0.64
emblematic,0.771
embodiment,0.562
embossed,0.531
embrace,0.949
embroidered,0.677
embroidery,0.781
embryo,0.673
embryonic,0.573
emcee,0.694
emerald,0.74
emerge,0.602
emeritus,0.633
emigration,0.564
eminence,0.816
eminent,0.74
eminently,0.694
emir,0.51
emissary,0.562
emission,0.51
emit,0.638
emotion,0.693
emotional,0.779
emotive,0.917
empathic,0.76
empathize,0.802
empathy,0.729
emperor,0.651
emphasis,0.653
emphasize,0.51
emphatic,0.615
empire,0.688
empirical,0.5
empiricism,0.583
employ,0.729
employee,0.582
employer,0.663
employment,0.75
emporium,0.622
empower,0.694
empress,0.716
emption,0.57
emulsion,0.562
enable,0.76
enablement,0.6
enact,0.68
enactment,0.667
enamel,0.594
encampment,0.677
enchant,0.873
enchanted,0.917
enchanting,0.917
enchantment,0.816
enchilada,0.542
encircling,0.51
enclave,0.531
enclose,0.531
encomiastic,0.541
encomium,0.541
encompass,0.52
encore,0.51
encounter,0.865
encourage,0.896
encouraged,0.953
encouragement,0.865
encouraging,0.823
encrypt,0.5
encryption,0.547
encyclopedia,0.679
end table,0.541
endearing,0.663
endeavor,0.677
endorse,0.592
endorsement,0.834
endow,0.684
endowed,0.755
endowment,0.685
endpapers,0.542
endurance,0.592
enduring,0.633
energetic,0.847
energize,0.792
energy,0.944
enforce,0.583
enforcement,0.594
engage,0.771
engaged,0.837
engagement,0.906
engaging,0.948
engender,0.561
engine,0.615
engineer,0.719
engineering,0.735
engraved,0.542
engraver,0.552
engraving,0.604
engrossed,0.541
engrossing,0.698
enhance,0.802
enhancement,0.877
enigma,0.513
enjoin,0.594
enjoy,0.959
enjoyable,1.0
enjoying,0.908
enjoyment,0.93
enlarge,0.735
enlarged,0.673
enlargement,0.677
enlighten,0.729
enlightened,0.956
enlightening,0.825
enlightenment,0.837
enlist,0.51
enliven,0.833
enormity,0.594
enormous,0.677
enormously,0.76
enrich,0.896
enroll,0.696
enrollment,0.667
ensemble,0.697
ensign,0.663
ensue,0.698
ensure,0.737
enter,0.708
enterprise,0.76
enterprising,0.865
entertain,0.918
entertained,0.902
entertainer,0.888
entertaining,0.833
entertainment,0.847
enthralled,0.745
enthusiasm,0.938
enthusiast,0.867
enthusiastic,0.885
entice,0.521
entire,0.689
entirety,0.854
entitle,0.729
entity,0.542
entrance,0.698
entree,0.615
entrepreneur,0.885
entrust,0.693
entry,0.552
enumerate,0.521
enumeration,0.548
envelope,0.604
environ,0.724
environment,0.646
environmental,0.633
environs,0.561
envision,0.625
envoy,0.531
enzyme,0.562
ephemeral,0.5
ephemeris,0.64
epic,0.857
epilogue,0.582
epiphany,0.625
episcopal,0.542
episode,0.719
episodic,0.531
epistle,0.604
epithet,0.53
epitome,0.51
epoch,0.553
equal,0.781
equality,0.898
equalization,0.625
equalize,0.738
equalizer,0.604
equally,0.625
equate,0.724
equator,0.55
equatorial,0.55
equestrian,0.633
equilibration,0.724
equilibrium,0.676
equip,0.65
equipment,0.745
equitable,0.714
equity,0.792
equivalence,0.663
equivalent,0.646
era,0.615
erect,0.643
erectile,0.542
erection,0.64
erotic,0.625
erotica,0.781
erudite,0.719
escalate,0.653
escalating,0.646
escalation,0.571
escalator,0.5
escort,0.729
esoteric,0.5
especial,0.827
espouse,0.802
espresso,0.677
esprit,0.552
esquire,0.604
essay,0.559
essayist,0.656
essence,0.663
essential,0.812
essentially,0.75
establish,0.708
established,0.796
establishment,0.69
estate,0.653
esteem,0.745
esteemed,0.694
esthetic,0.635
estimable,0.796
estimate,0.719
estimation,0.74
estrogen,0.58
etch,0.51
etching,0.567
eternal,0.854
eternity,0.765
ethereal,0.52
ethic,0.786
ethical,0.854
ethics,0.658
ethnic,0.583
ethnography,0.571
etiology,0.5
etiquette,0.604
etymology,0.531
eucalyptus,0.602
eulogistic,0.74
eulogium,0.542
eulogize,0.85
eulogy,0.625
euphoria,0.769
euphoric,0.745
euro,0.68
evaluate,0.663
evaluation,0.542
evanescence,0.527
evangelical,0.602
evangelist,0.582
evangelistic,0.66
evaporation,0.556
eve,0.612
evens,0.592
event,0.745
eventful,0.543
eventual,0.633
evergreen,0.729
everlasting,0.74
evermore,0.677
everyday,0.74
everyman,0.522
evidence,0.5
evident,0.633
evolution,0.781
evolutionary,0.796
evolve,0.655
exact,0.719
exalt,0.656
exaltation,0.594
exalted,0.676
examine,0.615
example,0.542
excavate,0.583
excavation,0.54
exceed,0.5
exceeding,0.5
excel,0.561
excellence,0.958
excellent,0.97
excelsior,0.7
exceptional,0.806
exchange,0.74
excitability,0.906
excitable,0.803
excitation,0.792
excite,0.823
excited,0.908
excitement,0.896
exciting,0.95
exclaim,0.635
exclamation,0.612
exclusive,0.792
excursion,0.625
exec,0.64
executive,0.704
exemplar,0.844
exemplary,0.833
exemplify,0.735
exempt,0.588
exemption,0.531
exercise,0.75
exert,0.694
exertion,0.663
exhale,0.542
exhaust,0.546
exhibit,0.688
exhibition,0.698
exhilarated,0.89
exhilarating,0.917
exhilaration,0.792
exhortation,0.531
exist,0.857
existence,0.76
existent,0.635
existential,0.583
existing,0.802
exonerate,0.592
exotic,0.84
expand,0.792
expanded,0.76
expanse,0.594
expansion,0.776
expansive,0.708
expectance,0.552
expectancy,0.581
expectant,0.708
expectation,0.771
expected,0.729
expecting,0.561
expediency,0.604
expedient,0.885
expedite,0.571
expedition,0.735
expeditious,0.602
experience,0.827
experienced,0.771
experiences,0.793
experimentation,0.637
experimenter,0.708
expert,0.776
expertise,0.792
expire,0.573
explain,0.719
explanation,0.615
explanatory,0.573
explication,0.51
explicit,0.562
exploration,0.594
exploratory,0.653
explore,0.776
explorer,0.729
expo,0.61
exponent,0.529
exponential,0.704
export,0.567
exportation,0.76
exposition,0.521
expository,0.706
exposure,0.57
express,0.76
expression,0.79
expressive,0.755
expressway,0.633
exquisite,0.892
exquisitely,0.849
extant,0.646
extend,0.646
extendable,0.66
extended,0.57
extensive,0.635
extent,0.646
exterior,0.542
externally,0.643
extinguisher,0.707
extol,0.582
extra,0.656
extract,0.565
extracting,0.521
extraordinaire,0.847
extraordinary,0.969
extraterrestrial,0.51
extravagance,0.531
extravagant,0.72
extravaganza,0.646
extreme anticipation,0.551
extreme surprise,0.833
extreme trust,0.826
extremely,0.635
extremely positive,0.993
extricate,0.542
extrinsic,0.51
exuberance,0.698
eye,0.531
eyeball,0.526
eyebrow,0.51
eyeful,0.802
eyeglass,0.531
eyeglasses,0.561
eyelet,0.632
eyeliner,0.688
eyes,0.76
eyesight,0.75
eyewitness,0.541
fable,0.663
fabled,0.625
fabric,0.635
fabricate,0.636
fabrication,0.573
fabulous,0.979
facade,0.52
face,0.571
facet,0.667
facial,0.594
facile,0.74
facilitate,0.812
facility,0.625
facing,0.604
fact,0.683
factor,0.635
factory,0.5
facts,0.688
factual,0.656
faculties,0.643
faculty,0.615
fad,0.663
fair,0.812
fairly,0.79
fairness,0.74
fairway,0.541
fairy,0.776
faith,0.833
faithful,0.888
faithfulness,0.833
falafel,0.56
falcon,0.557
fame,0.896
famed,0.878
familiar,0.906
familiarity,0.854
familiarize,0.76
family,0.968
familytime,0.939
famous,0.916
famously,0.856
fan,0.781
fanatic,0.573
fanatical,0.555
fanciful,0.677
fancy,0.854
fanfare,0.656
fanning,0.615
fantasia,0.898
fantasize,0.771
fantastic,0.969
fantasy,0.88
farm,0.781
farmer,0.677
farmhouse,0.69
farming,0.58
farmland,0.729
faro,0.544
fascinate,0.854
fascinated,0.812
fascinating,0.979
fascination,0.885
fashion,0.827
fashionable,0.75
fastball,0.688
fastener,0.577
fastening,0.594
